_id,status,data.city,data.state,data.country,data.location.type,data.location.coordinates,data.current.weather.ts,data.current.weather.tp,data.current.weather.pr,data.current.weather.hu,data.current.weather.ws,data.current.weather.wd,data.current.weather.ic,data.current.pollution.ts,data.current.pollution.aqius,data.current.pollution.mainus,data.current.pollution.aqicn,data.current.pollution.maincn
5ee4e5f19ae5d010d5ad049c,success,Ein Tamar,Southern District,Israel,Point,"[35.3884,30.94553]",2020-06-13T02:00:00.000Z,24,1010,35,0.19,155,01n,2020-06-13T01:00:00.000Z,56,p2,21,p2
5ee4e5f19ae5d010d5ad049d,success,Marino,Latium,Italy,Point,"[12.610351,41.779264]",2020-06-13T02:00:00.000Z,16,1013,82,2.1,100,01n,2020-06-13T02:00:00.000Z,20,p2,7,p2
5ee4e5f19ae5d010d5ad049e,success,Saku,Nagano,Japan,Point,"[138.4768306,36.2488683]",2020-06-13T02:00:00.000Z,17,901,99,1.92,61,10d,2020-06-13T01:00:00.000Z,33,p2,14,p1
5ee4e5f19ae5d010d5ad049f,success,Nairobi,Nairobi,Kenya,Point,"[36.81667,-1.2833299999999999]",2020-06-13T02:00:00.000Z,15,1021,93,2.1,240,04n,2020-06-13T02:00:00.000Z,38,p2,13,p2
5ee4e5f19ae5d010d5ad04a0,fail,,,,,,,,,,,,,,,,,
5ee4e5f19ae5d010d5ad04a1,success,Bishkek,Bishkek,Kyrgyzstan,Point,"[74.58384,42.827626]",2020-06-13T02:00:00.000Z,20,1009,42,3,110,01d,2020-06-13T02:00:00.000Z,15,p2,5,p2
5ee4e5f19ae5d010d5ad04a2,success,Manche,Normandy,France,Point,"[-1.59341688636545,49.646948621699]",2020-06-13T02:00:00.000Z,13,1002,82,5.1,130,01n,2020-06-13T02:00:00.000Z,33,p2,17,o3
5ee4e5f19ae5d010d5ad04a3,success,Phnom Penh,Phnom Penh,Cambodia,Point,"[104.91399417,11.5635767]",2020-06-13T02:00:00.000Z,31,1005,70,2.6,230,03d,2020-06-13T02:00:00.000Z,62,p2,25,p2
5ee4e5f19ae5d010d5ad04a4,fail,,,,,,,,,,,,,,,,,
5ee4e5f19ae5d010d5ad04a5,success,Nagpur,Maharashtra,India,Point,"[79.072979,21.152877]",2020-06-13T02:00:00.000Z,25,1002,94,1,300,10d,2020-06-13T01:00:00.000Z,73,p2,33,p2
5ee4e5f19ae5d010d5ad04a6,success,Kuwait City,Al Asimah,Kuwait,Point,"[48.046876,29.291612]",2020-06-13T02:00:00.000Z,33,1002,24,5.7,340,01d,2020-06-13T02:00:00.000Z,89,p2,43,p2
5ee4e5f19ae5d010d5ad04a7,success,Peebles,Scotland,United Kingdom,Point,"[-3.196527,55.657472]",2020-06-13T02:00:00.000Z,10,1007,57,1.79,151,04n,2020-06-13T00:00:00.000Z,0,n2,1,n2
5ee4e5f19ae5d010d5ad04a8,success,Antananarivo,Analamanga,Madagascar,Point,"[47.53613,-18.91368]",2020-06-13T02:00:00.000Z,10,1022,100,0.5,0,02n,2020-06-13T02:00:00.000Z,54,p2,20,p2
5ee4e5f19ae5d010d5ad04a9,success,Nur-Sultan,Nur-Sultan,Kazakhstan,Point,"[71.4703558,51.1605227]",2020-06-13T02:00:00.000Z,23,1008,49,4,210,04d,2020-06-13T02:00:00.000Z,62,p2,25,p2
5ee4e5f19ae5d010d5ad04aa,success,Nan,Nan,Thailand,Point,"[101.048549,19.5379313]",2020-06-13T02:00:00.000Z,22,1007,91,1.01,78,10d,2020-06-13T01:00:00.000Z,45,p2,33,p1
5ee4e5f19ae5d010d5ad04ab,success,Qiryat Shemona,Northern District,Israel,Point,"[35.57212,33.20733]",2020-06-13T02:00:00.000Z,18,1010,43,2.1,120,01n,2020-06-13T01:00:00.000Z,29,p2,10,p2
